devmac,COUNT(DISTINCT blemac),dev_lat,dev_long
3C:71:BF:62:E4:30,42,33.6962,-117.79
3C:71:BF:62:E7:FC,90,32.869,-117.21799999999999
3C:71:BF:63:81:BC,53,32.8668,-117.24799999999999
3C:71:BF:63:DC:D0,630,32.8512,-117.21700000000001
3C:71:BF:63:DF:70,43,37.4019,-121.931
3C:71:BF:63:DF:98,83,42.3584,-71.1259
3C:71:BF:63:E6:30,134,37.7124,-122.421
3C:71:BF:63:EE:0C,34,34.1542,-118.045
3C:71:BF:64:36:C0,80,32.8472,-117.196
3C:71:BF:6C:5D:B4,216,32.8747,-117.21600000000001
3C:71:BF:6C:62:2C,52,37.3969,-121.943
3C:71:BF:6C:A9:7C,161,32.8741,-117.21799999999999
3C:71:BF:6F:13:B8,277,37.3688,-122.036
80:7D:3A:BA:E2:14,39,32.8657,-117.238
80:7D:3A:BC:7F:00,41,47.6131,-122.205
80:7D:3A:E9:67:5C,245,32.8711,-117.21700000000001
A4:CF:12:43:52:D0,128,37.7423,-122.259
A4:CF:12:43:71:4C,147,32.8746,-117.21600000000001
A4:CF:12:43:71:60,149,37.4918,-121.925
A4:CF:12:43:7E:00,12,38.7972,-121.28200000000001
CC:50:E3:A1:45:2C,68,32.8697,-117.223
CC:50:E3:A8:EB:3C,47,32.856,-117.212
CC:50:E3:A9:79:3C,50,32.8584,-117.23299999999999
CC:50:E3:AF:E1:B4,179,32.9269,-117.195
CC:50:E3:AF:E3:80,206,37.3877,-122.007
CC:50:E3:AF:E4:68,11,37.7833,-122.287
CC:50:E3:AF:E4:E0,101,33.8647,-118.26700000000001
CC:50:E3:B0:21:78,306,32.8725,-117.205
CC:50:E3:B0:21:8C,47,34.2192,-118.352
CC:50:E3:B0:21:A4,23,33.705,-117.738
CC:50:E3:B0:92:B4,173,32.869,-117.21799999999999
