lon,lat,avg_wind_speed,city,day,hour
-122.04,37.37,4.6,"Group 1 Bay",4,19
-122.04,37.37,4.6,"Group 1 Bay",4,20
-122.04,37.37,3.35,"Group 1 Bay",4,21
-122.04,37.37,2.061666666666667,"Group 1 Bay",4,22
-122.04,37.37,3.534,"Group 1 Bay",4,23
-122.04,37.37,2.6,"Group 1 Bay",5,0
-122.04,37.37,3.016666666666667,"Group 1 Bay",5,1
-122.04,37.37,1.9833333333333334,"Group 1 Bay",5,2
-122.04,37.37,2.023333333333333,"Group 1 Bay",5,3
-122.04,37.37,2.2999999999999994,"Group 1 Bay",5,4
-122.04,37.37,2.2466666666666666,"Group 1 Bay",5,5
-122.04,37.37,2.27,"Group 1 Bay",5,6
-122.04,37.37,1.5,"Group 1 Bay",5,7
-122.04,37.37,3.0499999999999994,"Group 1 Bay",5,8
-122.04,37.37,5.933333333333334,"Group 1 Bay",5,9
-122.04,37.37,4.12,"Group 1 Bay",5,10
-122.04,37.37,3.6,"Group 1 Bay",5,11
-122.04,37.37,5.666666666666667,"Group 1 Bay",5,12
-122.04,37.37,7.366666666666667,"Group 1 Bay",5,13
-122.04,37.37,8.033333333333333,"Group 1 Bay",5,14
-122.04,37.37,8.533333333333333,"Group 1 Bay",5,15
-122.04,37.37,8.7,"Group 1 Bay",5,16
-122.04,37.37,7.7,"Group 1 Bay",5,17
-122.04,37.37,6.2,"Group 1 Bay",5,19
-122.04,37.37,5.1,"Group 1 Bay",5,21
-122.04,37.37,3.6,"Group 1 Bay",5,22
-122.04,37.37,2.1,"Group 1 Bay",6,0
-122.04,37.37,1.35,"Group 1 Bay",6,2
-122.04,37.37,1.07,"Group 1 Bay",6,3
-122.04,37.37,1.04,"Group 1 Bay",6,5
-122.04,37.37,1.35,"Group 1 Bay",6,7
-122.04,37.37,2.69,"Group 1 Bay",6,8
-122.04,37.37,2.1,"Group 1 Bay",6,10
-122.04,37.37,2.6,"Group 1 Bay",6,12
-122.04,37.37,7.2,"Group 1 Bay",6,13
-122.04,37.37,8.2,"Group 1 Bay",6,15
-122.04,37.37,6.7,"Group 1 Bay",6,17
-122.04,37.37,7.7,"Group 1 Bay",6,18
-122.04,37.37,5.1,"Group 1 Bay",6,20
-122.04,37.37,0.45,"Group 1 Bay",6,22
-122.04,37.37,4.1,"Group 1 Bay",6,23
-122.04,37.37,4.1,"Group 1 Bay",7,1
-122.04,37.37,2.6,"Group 1 Bay",7,3
-122.04,37.37,3.6,"Group 1 Bay",7,4
-122.04,37.37,2.6,"Group 1 Bay",7,6
-122.04,37.37,3.6,"Group 1 Bay",7,8
-122.04,37.37,6.2,"Group 1 Bay",7,9
-122.04,37.37,8.7,"Group 1 Bay",7,11
-122.04,37.37,7.7,"Group 1 Bay",7,13
-122.04,37.37,8.7,"Group 1 Bay",7,14
-122.04,37.37,8.2,"Group 1 Bay",7,15
-122.04,37.37,9.3,"Group 1 Bay",7,16
-122.04,37.37,8.7,"Group 1 Bay",7,17
-122.036,37.3688,8.7,"Group 1 Bay",7,18
-122.036,37.3688,9.3,"Group 1 Bay",7,19
-122.036,37.3688,9.8,"Group 1 Bay",7,20
-117.2,32.93,3.6,"Group 1 San Diego",4,19
-117.2,32.93,2.4,"Group 1 San Diego",4,20
-117.2,32.93,2.1,"Group 1 San Diego",4,21
-117.2,32.93,2.5166666666666666,"Group 1 San Diego",4,22
-117.2,32.93,2.1,"Group 1 San Diego",4,23
-117.2,32.93,2.1,"Group 1 San Diego",5,0
-117.2,32.93,2.1,"Group 1 San Diego",5,1
-117.2,32.93,2.1,"Group 1 San Diego",5,2
-117.2,32.93,2.1,"Group 1 San Diego",5,3
-117.2,32.93,2.9333333333333336,"Group 1 San Diego",5,4
-117.2,32.93,1.7,"Group 1 San Diego",5,5
-117.2,32.93,2.3,"Group 1 San Diego",5,6
-117.2,32.93,1.8,"Group 1 San Diego",5,7
-117.2,32.93,2.35,"Group 1 San Diego",5,8
-117.2,32.93,2.3,"Group 1 San Diego",5,9
-117.2,32.93,2.6833333333333336,"Group 1 San Diego",5,10
-117.2,32.93,4.430000000000001,"Group 1 San Diego",5,11
-117.2,32.93,4.565,"Group 1 San Diego",5,12
-117.2,32.93,3.35,"Group 1 San Diego",5,13
-117.2,32.93,4.766666666666667,"Group 1 San Diego",5,14
-117.2,32.93,5.6000000000000005,"Group 1 San Diego",5,15
-117.2,32.93,5.7,"Group 1 San Diego",5,16
-117.2,32.93,2.24,"Group 1 San Diego",5,17
-117.2,32.93,4.1,"Group 1 San Diego",5,19
-117.2,32.93,3.1,"Group 1 San Diego",5,21
-117.2,32.93,2.1,"Group 1 San Diego",5,22
-117.2,32.93,2.1,"Group 1 San Diego",6,0
-117.2,32.93,1.5,"Group 1 San Diego",6,2
-117.2,32.93,1.5,"Group 1 San Diego",6,3
-117.2,32.93,2.87,"Group 1 San Diego",6,5
-117.2,32.93,1.5,"Group 1 San Diego",6,7
-117.2,32.93,2.1,"Group 1 San Diego",6,8
-117.2,32.93,2.6,"Group 1 San Diego",6,10
-117.2,32.93,4.1,"Group 1 San Diego",6,12
-117.2,32.93,5.7,"Group 1 San Diego",6,13
-117.2,32.93,2.1,"Group 1 San Diego",6,15
-117.2,32.93,3.6,"Group 1 San Diego",6,17
-117.2,32.93,5.1,"Group 1 San Diego",6,18
-117.2,32.93,2.6,"Group 1 San Diego",6,20
-117.2,32.93,2.6,"Group 1 San Diego",6,22
-117.2,32.93,1.5,"Group 1 San Diego",6,23
-117.2,32.93,2.1,"Group 1 San Diego",7,1
-117.2,32.93,1.5,"Group 1 San Diego",7,3
-117.2,32.93,1.5,"Group 1 San Diego",7,4
-117.2,32.93,2.1,"Group 1 San Diego",7,6
-117.2,32.93,1.5,"Group 1 San Diego",7,8
-117.2,32.93,2.6,"Group 1 San Diego",7,9
-117.2,32.93,1.5,"Group 1 San Diego",7,11
-117.2,32.93,3.1,"Group 1 San Diego",7,13
-117.2,32.93,3.6,"Group 1 San Diego",7,14
-117.2,32.93,5.7,"Group 1 San Diego",7,15
-117.2,32.93,4.6,"Group 1 San Diego",7,16
-117.2,32.93,5.1,"Group 1 San Diego",7,17
-117.195,32.9269,5.1,"Group 1 San Diego",7,17
-117.195,32.9269,5.1,"Group 1 San Diego",7,18
-117.195,32.9269,2.24,"Group 1 San Diego",7,19
-117.195,32.9269,4.6,"Group 1 San Diego",7,20
-117.22,32.87,3.6,"Group 10 San Diego",4,19
-117.22,32.87,2.3,"Group 10 San Diego",4,20
-117.22,32.87,2.2666666666666666,"Group 10 San Diego",4,21
-117.22,32.87,2.5166666666666666,"Group 10 San Diego",4,22
-117.22,32.87,2.1,"Group 10 San Diego",4,23
-117.22,32.87,2.1,"Group 10 San Diego",5,0
-117.22,32.87,2.1,"Group 10 San Diego",5,1
-117.22,32.87,2.1,"Group 10 San Diego",5,2
-117.22,32.87,2.1,"Group 10 San Diego",5,3
-117.22,32.87,2.9333333333333336,"Group 10 San Diego",5,4
-117.22,32.87,1.7,"Group 10 San Diego",5,5
-117.22,32.87,2.3,"Group 10 San Diego",5,6
-117.22,32.87,1.8,"Group 10 San Diego",5,7
-117.22,32.87,2.35,"Group 10 San Diego",5,8
-117.22,32.87,2.3,"Group 10 San Diego",5,9
-117.22,32.87,2.6,"Group 10 San Diego",5,10
-117.22,32.87,4.3133333333333335,"Group 10 San Diego",5,11
-117.22,32.87,4.61,"Group 10 San Diego",5,12
-117.22,32.87,3.35,"Group 10 San Diego",5,13
-117.22,32.87,4.766666666666667,"Group 10 San Diego",5,14
-117.22,32.87,5.6000000000000005,"Group 10 San Diego",5,15
-117.22,32.87,5.7,"Group 10 San Diego",5,16
-117.22,32.87,3.1,"Group 10 San Diego",5,17
-117.22,32.87,4.1,"Group 10 San Diego",5,19
-117.22,32.87,3.1,"Group 10 San Diego",5,21
-117.22,32.87,2.1,"Group 10 San Diego",5,22
-117.22,32.87,2.1,"Group 10 San Diego",6,0
-117.22,32.87,1.5,"Group 10 San Diego",6,2
-117.22,32.87,1.5,"Group 10 San Diego",6,3
-117.22,32.87,3.06,"Group 10 San Diego",6,5
-117.22,32.87,1.5,"Group 10 San Diego",6,7
-117.22,32.87,2.1,"Group 10 San Diego",6,8
-117.22,32.87,2.6,"Group 10 San Diego",6,10
-117.22,32.87,4.1,"Group 10 San Diego",6,12
-117.22,32.87,5.7,"Group 10 San Diego",6,13
-117.22,32.87,2.1,"Group 10 San Diego",6,15
-117.22,32.87,3.6,"Group 10 San Diego",6,17
-117.22,32.87,5.1,"Group 10 San Diego",6,18
-117.22,32.87,2.6,"Group 10 San Diego",6,20
-117.22,32.87,2.6,"Group 10 San Diego",6,22
-117.22,32.87,1.5,"Group 10 San Diego",6,23
-117.22,32.87,2.1,"Group 10 San Diego",7,1
-117.22,32.87,1.5,"Group 10 San Diego",7,3
-117.22,32.87,1.5,"Group 10 San Diego",7,4
-117.22,32.87,2.1,"Group 10 San Diego",7,6
-117.22,32.87,1.5,"Group 10 San Diego",7,8
-117.22,32.87,2.6,"Group 10 San Diego",7,9
-117.22,32.87,1.5,"Group 10 San Diego",7,11
-117.22,32.87,3.1,"Group 10 San Diego",7,13
-117.22,32.87,3.6,"Group 10 San Diego",7,14
-117.22,32.87,5.7,"Group 10 San Diego",7,15
-117.22,32.87,4.6,"Group 10 San Diego",7,16
-117.22,32.87,5.1,"Group 10 San Diego",7,17
-117.218,32.8741,5.1,"Group 10 San Diego",7,18
-117.218,32.8741,6.2,"Group 10 San Diego",7,19
-117.218,32.8741,4.6,"Group 10 San Diego",7,20
-117.22,32.87,3.6,"Group 11 San Diego",4,19
-117.22,32.87,2.3000000000000003,"Group 11 San Diego",4,20
-117.22,32.87,2.266666666666667,"Group 11 San Diego",4,21
-117.22,32.87,2.516666666666667,"Group 11 San Diego",4,22
-117.22,32.87,2.1000000000000005,"Group 11 San Diego",4,23
-117.22,32.87,2.1000000000000005,"Group 11 San Diego",5,0
-117.22,32.87,2.1000000000000005,"Group 11 San Diego",5,1
-117.22,32.87,2.1000000000000005,"Group 11 San Diego",5,2
-117.22,32.87,2.1000000000000005,"Group 11 San Diego",5,3
-117.22,32.87,2.933333333333334,"Group 11 San Diego",5,4
-117.22,32.87,1.7000000000000002,"Group 11 San Diego",5,5
-117.22,32.87,2.3000000000000003,"Group 11 San Diego",5,6
-117.22,32.87,1.8,"Group 11 San Diego",5,7
-117.22,32.87,2.3500000000000005,"Group 11 San Diego",5,8
-117.22,32.87,2.3000000000000003,"Group 11 San Diego",5,9
-117.22,32.87,2.6000000000000005,"Group 11 San Diego",5,10
-117.22,32.87,4.313333333333333,"Group 11 San Diego",5,11
-117.22,32.87,4.61,"Group 11 San Diego",5,12
-117.22,32.87,3.350000000000001,"Group 11 San Diego",5,13
-117.22,32.87,4.7666666666666675,"Group 11 San Diego",5,14
-117.22,32.87,5.600000000000001,"Group 11 San Diego",5,15
-117.22,32.87,5.7,"Group 11 San Diego",5,16
-117.22,32.87,3.1,"Group 11 San Diego",5,17
-117.22,32.87,4.1,"Group 11 San Diego",5,19
-117.22,32.87,3.1,"Group 11 San Diego",5,21
-117.22,32.87,2.1,"Group 11 San Diego",5,22
-117.22,32.87,2.1,"Group 11 San Diego",6,0
-117.22,32.87,1.5,"Group 11 San Diego",6,2
-117.22,32.87,1.5,"Group 11 San Diego",6,3
-117.22,32.87,3.06,"Group 11 San Diego",6,5
-117.22,32.87,1.5,"Group 11 San Diego",6,7
-117.22,32.87,2.1,"Group 11 San Diego",6,8
-117.22,32.87,2.6,"Group 11 San Diego",6,10
-117.22,32.87,4.1,"Group 11 San Diego",6,12
-117.22,32.87,5.7,"Group 11 San Diego",6,13
-117.22,32.87,2.1,"Group 11 San Diego",6,15
-117.22,32.87,3.6,"Group 11 San Diego",6,17
-117.22,32.87,5.1,"Group 11 San Diego",6,18
